DATE,OPEN,HIGH,LOW,CLOSE,VOLUME
1/4/2011,485.72,487.83,481.66,485.97,27702590
1/5/2011,487.94,487.94,481.91,481.91,31937170
1/6/2011,480.86,483.16,479.87,482.31,27623660
1/7/2011,482.77,483.86,481.35,481.86,27898990
1/10/2011,483.71,485.06,479.58,480.55,31913610
1/11/2011,477.97,480.79,475.48,477.44,33672520
1/12/2011,480.82,481.65,477.49,478.45,25963280
1/13/2011,479.95,485.02,479.6,484.12,24707820
1/14/2011,487.06,490.11,486.54,489.22,35655170
1/17/2011,492.89,498.49,492.37,495.16,38761030
1/18/2011,497.05,501.28,496,497.43,36081550
1/19/2011,504.93,507.89,503.1,505.91,37752610
1/20/2011,510.17,514.05,510.17,511.98,34788830
1/21/2011,518.32,521.22,518.24,519.5,42553960
1/24/2011,525.7,525.7,509.88,509.88,33580000
1/25/2011,504.06,506.12,501.87,501.97,31591460
1/26/2011,498.24,502.02,498.24,501.25,18693150
1/27/2011,501.25,503.43,498.11,502.68,25261730
1/28/2011,502.77,511.91,502.75,510.6,34784690
2/8/2011,515.7,521.49,515.64,520.69,23807620
2/9/2011,528.69,529.2,522.49,522.59,30722510
2/10/2011,523.25,526.57,519.51,520.23,29888370
2/11/2011,522.79,522.79,516.4,519.98,32345520
2/14/2011,520.73,522.37,514.05,514.05,32986530
2/15/2011,509.28,517.98,509.28,517.87,32068120
2/16/2011,519.55,519.7,513.11,513.11,27859030
2/17/2011,510.69,511.04,505.5,509.83,33492100
2/18/2011,509.1,510.75,502.55,503.92,35958100
2/21/2011,497.71,497.71,481.86,483.68,47516090
2/22/2011,467.4,471.68,467.4,470.02,48651700
2/23/2011,468.97,474.02,466.88,470.67,34351200
2/24/2011,462.43,462.87,455.74,461.29,39985780
2/25/2011,460.57,467.97,457.96,466.96,24623090
2/28/2011,467.12,474.22,461.37,461.37,29478850
3/1/2011,458.21,466.12,458.14,466.12,20498410
3/2/2011,464.27,466.26,453.33,457.83,44009210
3/3/2011,449.78,457.13,449.78,452.34,28284590
3/4/2011,454.73,459.23,452.61,459.23,25978170
3/7/2011,465.21,468.22,464.44,468.22,21215060
3/8/2011,471.78,477.52,471.78,475.38,24083640
3/9/2011,474.8,475.19,466.72,470.51,25573120
3/10/2011,467.54,482.54,467.54,482.49,33266730
3/11/2011,490.13,496.22,490.13,495.06,38503770
3/14/2011,491.95,493.2,479.9,479.9,42018980
3/15/2011,470.47,476.3,468.2,468.74,30728400
3/16/2011,467.17,470.64,461.57,463.58,28554040
3/17/2011,461.48,468.28,457.01,460.53,32161500
3/18/2011,459.4,461.88,454.73,461.08,45518990
3/21/2011,467.17,469.52,464.78,468.25,35968290
3/22/2011,470.22,470.98,464.8,464.8,31891240
3/23/2011,464,467.96,463.96,467.64,27018860
3/24/2011,465.12,468.59,461.32,461.32,25184420
3/25/2011,461.21,462.67,457.66,457.74,24991060
3/28/2011,458.35,463.37,456.74,459.52,20391140
3/29/2011,460.68,462.31,456.02,457.88,27935590
3/30/2011,454.33,460.1,454.31,460.04,24372760
3/31/2011,462.27,465.31,460.74,461.13,21014340
4/1/2011,460.8,463.11,458.55,459.17,19989320
4/4/2011,460.8,460.65,457.25,457.25,19221130
4/5/2011,460.8,459.1,454.86,457.2,17405740
4/6/2011,458.51,464.94,458.05,464.94,23335120
4/7/2011,464.72,465.85,462,463.49,22006610
4/8/2011,462.51,464.53,462.19,464.29,17885380
4/13/2011,464.21,464.74,461.01,461.01,15659150
4/14/2011,459.87,462.34,459.87,460.63,18691580
4/15/2011,462.17,463.5,460.9,460.96,22262560
4/18/2011,458.39,459.16,454.79,455.46,22418490
4/19/2011,453.59,457.63,453.54,453.74,16524710
4/20/2011,454.57,458.5,454.29,458.5,16546430
4/21/2011,458.38,462.74,458.26,460.3,17006300
4/22/2011,460.89,462.44,454.01,456.45,21266860
4/25/2011,458.99,467.01,458.99,465.62,21079130
4/26/2011,463.77,468.12,461.54,461.86,19647320
4/27/2011,465.98,469.32,463.68,469.32,19567290
4/28/2011,472.17,474.65,472.17,472.93,16856600
4/29/2011,477.43,481.13,477.07,480.08,18604900
5/4/2011,483.3,488.02,482.62,486.58,16159210
5/5/2011,485.96,486.99,476.48,479.29,16288750
5/6/2011,472.52,473.63,470.13,472.71,14997140
5/9/2011,469.01,477.47,467.77,477.47,16398710
5/10/2011,479.01,481.69,478.58,481.29,14589400
5/11/2011,479.07,483.74,479.06,483.15,15499200
5/12/2011,483.1,484.74,480.13,482.14,14798160
5/13/2011,482.01,482.51,478.58,479.67,16906020
5/16/2011,482.01,481.51,471.49,471.49,18741240
5/17/2011,471.49,474.57,464.35,464.35,20824430
5/18/2011,457.92,459.19,451.49,454.91,25478660
5/19/2011,450.92,456.47,444.85,444.85,20677330
5/20/2011,439.95,444.85,432.24,432.87,24896000
5/23/2011,429.74,430.54,416.14,417.82,28805780
5/24/2011,407.13,407.61,402.07,402.59,32695470
5/25/2011,388.64,389.9,385.72,386.36,28819230
5/26/2011,386.36,398.04,371.03,398.04,41625890
5/27/2011,406.75,410.82,405.78,410.82,26609500
5/30/2011,417.07,417.35,412,412.1,24198710
5/31/2011,414.98,421.37,414.88,421.37,19763890
6/1/2011,422.98,435.69,420.88,435.69,28167240
6/2/2011,446.66,450.59,445.98,450.59,31454970
6/3/2011,461.93,461.93,436.5,443.41,44203980
6/6/2011,434.97,436.91,430.15,433.81,18826220
6/7/2011,443.11,448.4,441.4,443.68,29655170
6/8/2011,445.43,446.99,436.15,439.57,32255700
6/9/2011,439.82,444.13,437.87,443.95,26247260
6/10/2011,446.54,451.81,445,445,38338750
6/13/2011,443.49,446.12,442.02,442.69,33418190
6/14/2011,441.09,452.55,440.57,441.54,55335130
6/15/2011,442.85,443.41,436.24,441.45,40589410
6/16/2011,439.58,445.66,438.51,445.17,31584930
6/17/2011,445.88,446.98,438.64,438.93,45206070
6/20/2011,438.13,440.17,431.59,431.63,32334480
6/21/2011,432.81,442.74,432.81,442.74,24798840
6/22/2011,444.28,445.49,439.29,439.63,21760520
6/23/2011,436.85,440.51,434.4,434.75,17521100
